,#Rank,University,Town
525,526,Pandit Deendayal Upadhyaya Shekhawati University,Sikar
526,527,Children's University,Gandhinagar
527,528,Birsa Agricultural University,Ranchi
528,529,Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth,Dapoli
529,530,Sushant University,Gurgaon
530,531,"ICFAI University, Tripura",Agartala ...
531,532,Gurukul Kangri Vishwavidyalaya,Haridwar
532,533,National Institute of Technology Sikkim,Ravangla
533,534,Mahatma Phule Krishi Vidyapeeth,Rahuri
534,535,Cotton University,Guwahati
535,536,Baba Mastnath University,Rohtak
536,537,Aryabhatta Knowledge University,Patna
537,538,Kerala Veterinary and Animal Sciences University,Pookode
538,539,Uttar Pradesh University of Medical Sciences,Saifai
539,540,DAV University,Jalandhar
540,541,Kerala University of Fisheries and Ocean Studies,Kochi
541,542,Dayananda Sagar University,Bangalore
542,543,Charotar University of Science and Technology,Anand
543,544,Vivekananda Global University,Jaipur
544,545,Indira Gandhi Delhi Technical University for Women,New Delhi
545,546,Maulana Mazharul Haque Arabic and Persian University,Patna
546,547,"National Institute of Technology, Nagaland",Dimapur
547,548,Punyashlok Ahilyadevi Holkar Solapur University,Solapur
548,549,Mangalayatan University,Aligarh
549,550,Rishihood University,Sonipat
550,551,Srimanta Sankaradeva University of Health Sciences,Guwahati
551,552,NIMS University,Jaipur
552,553,Rajmata Vijayaraje Scindia Krishi Vishwavidyalaya,Gwalior
553,554,Bodoland University,Kokrajhar
554,555,Vasantrao Naik Marathwada Krishi Vidyapeeth,Parbhani ...
555,556,Fakir Mohan University,Balasore ...
556,557,Guru Angad Dev Veterinary and Animal Sciences University,Ludhiana
557,558,National Law University and Judicial Academy,Guwahati
558,559,"National Institute of Technology, Puducherry",Karaikal
559,560,Sidho Kanho Birsha University,Purulia ...
560,561,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Akola
561,562,Jain Vishva Bharati Institute,Ladnun
562,563,Telangana University,Nizamabad
563,564,Sree Sankaracharya University of Sanskrit,Kalady
564,565,Nanaji Deshmukh Veterinary Science University,Jabalpur
565,566,Jharkhand Rai University,Ranchi
566,567,"National Institute of Technology, Manipur",Imphal
567,568,Yogi Vemana University,Kadapa
568,569,Jagran Lakecity University,Bhopal
569,570,Sangam University,Bhilwara
570,571,Central Agricultural University,Imphal
571,572,AKS University,Satna
572,573,Shree Somnath Sanskrit University,Veraval
573,574,Tilka Manjhi Bhagalpur University,Bhagalpur
574,575,Potti Sreeramulu Telugu University,Hyderabad
575,576,Uttar Banga Krishi Viswavidyalaya,Pundibari
576,577,Krishna Vishwa Vidyapeeth,Karad
577,578,Vikrama Simhapuri University,Nellore
578,579,Sandip University,Nashik ...
579,580,"Maharashtra National Law University, Nagpur",Nagpur
580,581,Sido Kanhu Murmu University,Dumka
581,582,Sunrise University,Alwar
582,583,Rabindranath Tagore University,Mendua Village
583,584,Shobhit Institute of Engineering and Technology,Meerut
584,585,Rayalaseema University,Kurnool
585,586,Periyar Maniammai Institute of Science and Technology,Vallam ...
586,587,Himachal Pradesh Technical University,Hamirpur
587,588,Chaudhary Bansi Lal University,Bhiwani
588,589,Vijayanagara Sri Krishnadevaraya University,Bellary
589,590,"Mahatma Gandhi University, Nalgonda",Nalgonda
590,591,Forest Research Institute,Dehradun
591,592,Avantika University,Ujjain
592,593,Apeejay Stya University,Gurgaon
593,594,Khwaja Moinuddin Chishti Language University,Lucknow
